"Data Source","World Development Indicators",

"Last Updated Date","2015-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Albania","ALB","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.49335055408953","3.63044326006645","4.74728224485507","5.43619226261753","5.65388593090806","6.96203552775119","7.2469928436445","7.75619214693267","8.19065018231838","6.8477536527303","7.44306170731239","8.05659473912453","7.62493359130976","8.21176785015509","8.12939907437383","8.8463300170327","10.4179653529171","11.2657806628518","12.581156154774","12.9328845925326","12.8318638783545","12.5141195817003","13.5150119795902","","","",
"Albania","ALB","GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34866484101801","5.37949800717821","6.87762829050162","7.69266355005851","7.8340012133513","9.44947935596887","9.65990108524223","10.1646661858173","10.6187922198064","8.74397909961109","9.29267838485922","9.83455590556479","9.16691054562461","9.67940641426557","9.32588070746994","9.8319719459505","10.8453394044945","11.7330122658401","12.4017339627184","12.4475670526409","12.937799426384","12.5141195817003","13.7169714541889","","","",
"Albania","ALB","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-41.6994116955347","-53.6342346880178","-72.518525326366","-49.2182729217977","-47.1951746887382","-41.3904654424333","-37.4069647498638","-34.8533228785624","-50.5439748153341","-12.2582455738246","-0.076429152845332","1.12902956141801","0.851841942518857","-2.26409505682723","-3.81586152482845","-3.31119577155409","-2.51956377512792","0.420610677858244","-0.656852072641821","7.9650583526857","-2.78362383080424","-3.37625065068072","-0.0977559707408288","9.33073227807364","6.63591634528518","6.29130250916267","8.69985703820492","16.6226723052943","38.720022444697","44.0727544110467","50.4719740682095","51.9545806053006","49.0146346811438","46.0038161805316","47.7661709472783","40.9091393877341","47.9983914429519","44.1390942856169","40.8815351204371","23.2305711891075","33.7162019941287","19.502090289517","","","",
"Albania","ALB","Access to non-solid fuel, rural (% of rural population)","EG.NSF.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2936408519745","","41.6966319084167","","","",
"Albania","ALB","Access to non-solid fuel, urban (% of urban population)","EG.NSF.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.372341923974","","79.1453501098043","","","",
"Albania","ALB","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1343741416931","","","","","","","","","","50.5779564380646","","","","","","","","","","60.2636188268661","","62.0864123106003","","","",
"Albania","ALB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","3.50444575618605","3.98633521370928","5.53273763822282","6.1230313057775","6.91916245952089","7.45971570904735","8.14872719207006","7.9567283505864","10.2637591614659","8.25965463118542","9.72700960277978","9.98508275079277","9.67546752161423","7.96470500322404","6.74108181151762","11.9867517847337","10.1345385495896","8.66995851177501","9.14789279975118","9.16372686460897","16.1690247429667","20.4268465527359","21.4149444158498","22.9139214158182","27.1956805125856","34.7079221877643","35.7122032882039","32.3990911234486","26.0695155781657","22.4674867312745","17.2249080254943","15.4176062141731","21.4252178604729","21.7701924160339","21.428976857148","22.7538390237565","12.1866025224829","16.2117811993438","21.4583398333537","31.1499634949521","16.4033643939296","20.1556160654162","","","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","74.6607032875427","77.1741106583994","74.3666339192289","75.3974630495873","75.7464247641652","76.1939197382069","75.8818779112211","78.0247036369265","75.0118130475276","80.9287927914084","78.0379104914866","77.836534442498","78.8759441227688","81.0974774748578","81.4337623759461","77.0583127402526","78.6375113710156","80.3814035334453","79.6938123131685","76.5939750800565","69.8249960719512","56.079290645733","53.4789779579446","54.8469148031933","49.5416411855723","45.453763744009","41.4493402366839","44.0945225488965","57.1696779014208","58.0171797316142","59.9724819682853","62.3799758757735","64.5283712223687","65.5782732614305","66.4866805505628","63.5505564378669","65.1223924710814","63.1343189131038","62.9289895233854","63.0060071058106","61.7657481960022","59.3713080107761","","","",
"Albania","ALB","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.962546677288","185.890950915055","145.398959897419","129.993986282215","127.648690977444","105.825936258418","103.520728750291","98.3800138360955","94.1726685389682","114.364408767226","107.611601153584","101.682273160312","109.088006806972","103.312120310001","107.228478614251","101.708996475714","92.2055053054015","85.2296049251931","80.633885794209","80.3369843898803","77.2928971182462","79.9097366355937","72.9023898124842","","","",
"Albania","ALB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","21.8348509562713","19.3179143535364","21.4114012459249","20.5424414245523","18.8609027093348","17.1236997998568","16.1545932419832","14.4594648252083","16.5795072246344","12.211494040319","13.9094012308023","13.9357573708488","13.1871489259071","12.682550271803","13.8031727760097","12.8735241625481","13.194353081554","12.8660834189453","12.9622794740207","13.5794723059983","19.397186127521","26.7231534840777","26.0302134326171","23.3632888040398","23.7413843812739","21.2324499577107","23.7475976884952","21.0111098521851","14.9978671812152","14.6284615083616","14.3561560237622","13.0044214199556","10.0480513739079","10.7572052111367","10.6119974028839","11.1483427091029","10.6461912409909","10.4643453455939","9.925081947529","9.71076915496381","9.2940913066231","9.95212072922255","","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","785.161525934329","865.59248120703","762.725361728214","776.934748974948","826.952081040206","890.953359858712","923.728867504315","1010.81922139014","864.199459705589","1149.53609603604","989.200148492914","966.683283781289","1000.12201296783","1018.26314225619","916.555190602146","963.927169506077","921.893044018284","927.744518727469","896.437762376845","813.255695500012","572.781843950789","418.286629757142","412.378880465233","441.249295409311","417.034843013203","447.848870261137","384.594958328053","417.521327907995","561.801132149031","570.845447449958","582.591572437245","645.08015378514","648.168387059418","715.414483080102","719.584378082987","689.300452089809","679.861765101008","697.00411968321","722.583867090188","724.562919388497","770.340266732765","715.256289542901","","","",
"Albania","ALB","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","0.3","","0.51","","1.02","","1.29","","1.31","","1.4","","1.79","","1.71","",
"Albania","ALB","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","0.57","","0.8","","1.23","","1.44","","1.36","","1.46","","1.81","","1.76","",
"Arab World","ARB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6806359009686","","","","","","","","","","65.8690552601244","","","","","","","","","","71.9699034133866","","73.909832818946","","","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8423536463861","","","","","","","","","","91.6546179270508","","","","","","","","","","93.8284627722688","","95.1514073830145","","","",
